Date,^GSPC,^DJI,^TNX,^IXIC,^RUT
2023-06-23,4348.330078125,33727.4296875,3.739000082015991,13492.51953125,1821.6300048828125
2023-06-26,4328.81982421875,33714.7109375,3.7190001010894775,13335.7802734375,1823.260009765625
2023-06-27,4378.41015625,33926.73828125,3.7679998874664307,13555.669921875,1849.9300537109375
2023-06-28,4376.85986328125,33852.66015625,3.7100000381469727,13591.75,1858.7099609375
2023-06-29,4396.43994140625,34122.421875,3.8540000915527344,13591.330078125,1881.5899658203125
2023-06-30,4450.3798828125,34407.6015625,3.819000005722046,13787.919921875,1888.72998046875
2023-07-03,4455.58984375,34418.46875,3.8580000400543213,13816.76953125,1896.780029296875
2023-07-05,4446.81982421875,34288.640625,3.944999933242798,13791.650390625,1872.9100341796875
2023-07-06,4411.58984375,33922.26171875,4.040999889373779,13679.0400390625,1842.22998046875
2023-07-07,4398.9501953125,33734.87890625,4.050000190734863,13660.7197265625,1864.6600341796875
2023-07-10,4409.52978515625,33944.3984375,4.00600004196167,13685.48046875,1895.25
2023-07-11,4439.259765625,34261.421875,3.9800000190734863,13760.7001953125,1913.3599853515625
2023-07-12,4472.16015625,34347.4296875,3.8610000610351562,13918.9599609375,1933.3800048828125
2023-07-13,4510.0400390625,34395.140625,3.760999917984009,14138.5703125,1950.8900146484375
2023-07-14,4505.419921875,34509.03125,3.819000005722046,14113.7001953125,1931.0899658203125
2023-07-17,4522.7900390625,34585.3515625,3.796999931335449,14244.9501953125,1951.27001953125
2023-07-18,4554.97998046875,34951.9296875,3.7890000343322754,14353.6396484375,1976.0699462890625
2023-07-19,4565.72021484375,35061.2109375,3.742000102996826,14358.01953125,1984.8900146484375
2023-07-20,4534.8701171875,35225.1796875,3.8540000915527344,14063.3095703125,1967.1600341796875
2023-07-21,4536.33984375,35227.69140625,3.8369998931884766,14032.8095703125,1960.260009765625
2023-07-24,4554.64013671875,35411.23828125,3.8570001125335693,14058.8701171875,1965.6800537109375
2023-07-25,4567.4599609375,35438.0703125,3.9119999408721924,14144.5595703125,1966.1099853515625
2023-07-26,4566.75,35520.12109375,3.8510000705718994,14127.2802734375,1980.3599853515625
2023-07-27,4537.41015625,35282.71875,4.01200008392334,14050.1103515625,1954.9000244140625
2023-07-28,4582.22998046875,35459.2890625,3.9690001010894775,14316.66015625,1981.5400390625
2023-07-31,4588.9599609375,35559.53125,3.9590001106262207,14346.01953125,2003.1800537109375
2023-08-01,4576.72998046875,35630.6796875,4.051000118255615,14283.91015625,1994.1700439453125
2023-08-02,4513.39013671875,35282.51953125,4.078000068664551,13973.4501953125,1966.8299560546875
2023-08-03,4501.89013671875,35215.890625,4.189000129699707,13959.7197265625,1961.4000244140625
2023-08-04,4478.02978515625,35065.62109375,4.059999942779541,13909.240234375,1957.4599609375
2023-08-07,4518.43994140625,35473.12890625,4.078000068664551,13994.400390625,1958.93994140625
2023-08-08,4499.3798828125,35314.48828125,4.026000022888184,13884.3203125,1947.4200439453125
2023-08-09,4467.7099609375,35123.359375,4.01200008392334,13722.01953125,1930.77001953125
2023-08-10,4468.830078125,35176.1484375,4.079999923706055,13737.990234375,1922.6199951171875
2023-08-11,4464.0498046875,35281.3984375,4.168000221252441,13644.849609375,1925.1099853515625
2023-08-14,4489.72021484375,35307.62890625,4.184000015258789,13788.330078125,1920.489990234375
2023-08-15,4437.85986328125,34946.390625,4.2210001945495605,13631.0498046875,1895.75
2023-08-16,4404.330078125,34765.73828125,4.257999897003174,13474.6298828125,1871.52001953125
2023-08-17,4370.35986328125,34474.828125,4.308000087738037,13316.9296875,1850.06005859375
2023-08-18,4369.7099609375,34500.66015625,4.250999927520752,13290.7802734375,1859.4200439453125
2023-08-21,4399.77001953125,34463.69140625,4.3420000076293945,13497.58984375,1856.010009765625
2023-08-22,4387.5498046875,34288.828125,4.328000068664551,13505.8701171875,1850.8399658203125
2023-08-23,4436.009765625,34472.98046875,4.197999954223633,13721.0302734375,1870.030029296875
2023-08-24,4376.31005859375,34099.421875,4.235000133514404,13463.9697265625,1846.280029296875
2023-08-25,4405.7099609375,34346.8984375,4.238999843597412,13590.650390625,1853.6300048828125
2023-08-28,4433.31005859375,34559.98046875,4.211999893188477,13705.1298828125,1869.010009765625
2023-08-29,4497.6298828125,34852.671875,4.122000217437744,13943.759765625,1895.5400390625
2023-08-30,4514.8701171875,34890.23828125,4.118000030517578,14019.3095703125,1903.2099609375
2023-08-31,4507.66015625,34721.91015625,4.0929999351501465,14034.9697265625,1899.6800537109375
2023-09-01,4515.77001953125,34837.7109375,4.172999858856201,14031.8095703125,1920.8299560546875
2023-09-05,4496.830078125,34641.96875,4.26800012588501,14020.9501953125,1880.449951171875
2023-09-06,4465.47998046875,34443.19140625,4.289999961853027,13872.4697265625,1874.280029296875
2023-09-07,4451.14013671875,34500.73046875,4.260000228881836,13748.830078125,1855.760009765625
2023-09-08,4457.490234375,34576.58984375,4.257999897003174,13761.5302734375,1851.5400390625
2023-09-11,4487.4599609375,34663.71875,4.288000106811523,13917.8896484375,1855.1400146484375
2023-09-12,4461.89990234375,34645.98828125,4.263999938964844,13773.6103515625,1855.3199462890625
2023-09-13,4467.43994140625,34575.53125,4.249000072479248,13813.58984375,1840.8399658203125
2023-09-14,4505.10009765625,34907.109375,4.288000106811523,13926.0498046875,1866.6300048828125
2023-09-15,4450.31982421875,34618.23828125,4.322000026702881,13708.330078125,1847.030029296875
2023-09-18,4453.52978515625,34624.30078125,4.318999767303467,13710.240234375,1834.300048828125
2023-09-19,4443.9501953125,34517.73046875,4.364999771118164,13678.1904296875,1826.530029296875
2023-09-20,4402.2001953125,34440.87890625,4.348999977111816,13469.1298828125,1810.0999755859375
2023-09-21,4330.0,34070.421875,4.480000019073486,13223.98046875,1781.8299560546875
2023-09-22,4320.06005859375,33963.83984375,4.438000202178955,13211.8095703125,1776.5
2023-09-25,4337.43994140625,34006.87890625,4.541999816894531,13271.3203125,1784.239990234375
2023-09-26,4273.52978515625,33618.87890625,4.558000087738037,13063.6103515625,1761.6099853515625
2023-09-27,4274.509765625,33550.26953125,4.625999927520752,13092.849609375,1778.9000244140625
2023-09-28,4299.7001953125,33666.33984375,4.5970001220703125,13201.2802734375,1794.31005859375
2023-09-29,4288.0498046875,33507.5,4.572999954223633,13219.3203125,1785.0999755859375
2023-10-02,4288.39013671875,33433.3515625,4.683000087738037,13307.76953125,1756.8199462890625
2023-10-03,4229.4501953125,33002.37890625,4.802000045776367,13059.4697265625,1727.1500244140625
2023-10-04,4263.75,33129.55078125,4.735000133514404,13236.009765625,1729.010009765625
2023-10-05,4258.18994140625,33119.5703125,4.7170000076293945,13219.830078125,1731.510009765625
2023-10-06,4308.5,33407.578125,4.783999919891357,13431.33984375,1745.56005859375
2023-10-09,4335.66015625,33604.6484375,4.796999931335449,13484.240234375,1755.989990234375
2023-10-10,4358.240234375,33739.30078125,4.65500020980835,13562.83984375,1775.949951171875
2023-10-11,4376.9501953125,33804.87109375,4.59499979019165,13659.6796875,1773.300048828125
2023-10-12,4349.60986328125,33631.140625,4.711999893188477,13574.2197265625,1734.25
2023-10-13,4327.77978515625,33670.2890625,4.629000186920166,13407.23046875,1719.7099609375
2023-10-16,4373.6298828125,33984.5390625,4.711999893188477,13567.98046875,1747.06005859375
2023-10-17,4373.2001953125,33997.6484375,4.8470001220703125,13533.75,1766.050048828125
2023-10-18,4314.60009765625,33665.078125,4.9039998054504395,13314.2998046875,1728.81005859375
2023-10-19,4278.0,33414.171875,4.98799991607666,13186.1796875,1702.699951171875
2023-10-20,4224.16015625,33127.28125,4.923999786376953,12983.8095703125,1680.7900390625
2023-10-23,4217.0400390625,32936.41015625,4.8379998207092285,13018.330078125,1665.8800048828125
2023-10-24,4247.68017578125,33141.37890625,4.840000152587891,13139.8701171875,1679.5
2023-10-25,4186.77001953125,33035.9296875,4.953000068664551,12821.2197265625,1651.4300537109375
2023-10-26,4137.22998046875,32784.30078125,4.84499979019165,12595.6103515625,1657.0
2023-10-27,4117.3701171875,32417.58984375,4.84499979019165,12643.009765625,1636.93994140625
2023-10-30,4166.81982421875,32928.9609375,4.875,12789.48046875,1647.2900390625
2023-10-31,4193.7998046875,33052.87109375,4.875,12851.240234375,1662.280029296875
2023-11-01,4237.85986328125,33274.578125,4.789000034332275,13061.4697265625,1669.699951171875
2023-11-02,4317.77978515625,33839.078125,4.669000148773193,13294.1904296875,1714.2099609375
2023-11-03,4358.33984375,34061.3203125,4.558000087738037,13478.2802734375,1760.699951171875
2023-11-06,4365.97998046875,34095.859375,4.6620001792907715,13518.7802734375,1737.93994140625
2023-11-07,4378.3798828125,34152.6015625,4.571000099182129,13639.8603515625,1733.1500244140625
2023-11-08,4382.77978515625,34112.26953125,4.5229997634887695,13650.41015625,1714.0699462890625
2023-11-09,4347.35009765625,33891.94140625,4.630000114440918,13521.4501953125,1687.239990234375
2023-11-10,4415.240234375,34283.1015625,4.627999782562256,13798.1103515625,1705.3199462890625
2023-11-13,4411.5498046875,34337.87109375,4.631999969482422,13767.740234375,1705.5
2023-11-14,4495.7001953125,34827.69921875,4.440999984741211,14094.3798828125,1798.3199462890625
2023-11-15,4502.8798828125,34991.2109375,4.534999847412109,14103.83984375,1801.219970703125
2023-11-16,4508.240234375,34945.46875,4.445000171661377,14113.669921875,1773.760009765625
2023-11-17,4514.02001953125,34947.28125,4.440999984741211,14125.48046875,1797.77001953125
2023-11-20,4547.3798828125,35151.0390625,4.421999931335449,14284.5302734375,1807.0799560546875
2023-11-21,4538.18994140625,35088.2890625,4.418000221252441,14199.98046875,1783.260009765625
2023-11-22,4556.6201171875,35273.03125,4.415999889373779,14265.8603515625,1795.5400390625
2023-11-24,4559.33984375,35390.1484375,4.4720001220703125,14250.849609375,1807.5
2023-11-27,4550.43017578125,35333.46875,4.388999938964844,14241.01953125,1801.1500244140625
2023-11-28,4554.89013671875,35416.98046875,4.335999965667725,14281.759765625,1792.81005859375
2023-11-29,4550.580078125,35430.421875,4.270999908447266,14258.490234375,1803.81005859375
2023-11-30,4567.7998046875,35950.890625,4.3520002365112305,14226.2197265625,1809.02001953125
2023-12-01,4594.6298828125,36245.5,4.22599983215332,14305.0302734375,1862.6400146484375
2023-12-04,4569.77978515625,36204.44140625,4.288000106811523,14185.490234375,1882.02001953125
2023-12-05,4567.18017578125,36124.55859375,4.171000003814697,14229.91015625,1856.0400390625
2023-12-06,4549.33984375,36054.4296875,4.120999813079834,14146.7099609375,1852.050048828125
2023-12-07,4585.58984375,36117.37890625,4.129000186920166,14339.990234375,1868.25
2023-12-08,4604.3701171875,36247.87109375,4.244999885559082,14403.9697265625,1880.8199462890625
2023-12-11,4622.43994140625,36404.9296875,4.238999843597412,14432.490234375,1883.6800537109375
2023-12-12,4643.7001953125,36577.94140625,4.205999851226807,14533.400390625,1881.27001953125
2023-12-13,4707.08984375,37090.23828125,4.0329999923706055,14733.9599609375,1947.510009765625
2023-12-14,4719.5498046875,37248.3515625,3.930000066757202,14761.5595703125,2000.510009765625
2023-12-15,4719.18994140625,37305.16015625,3.927999973297119,14813.919921875,1985.1300048828125
2023-12-18,4740.56005859375,37306.01953125,3.9539999961853027,14904.8095703125,1982.4200439453125
2023-12-19,4768.3701171875,37557.921875,3.921999931335449,15003.2197265625,2020.949951171875
2023-12-20,4698.35009765625,37082.0,3.877000093460083,14777.9404296875,1982.8399658203125
2023-12-21,4746.75,37404.3515625,3.8940000534057617,14963.8701171875,2017.06005859375
2023-12-22,4754.6298828125,37385.96875,3.9010000228881836,14992.9697265625,2033.9599609375
2023-12-26,4774.75,37545.328125,3.885999917984009,15074.5703125,2059.18994140625
2023-12-27,4781.580078125,37656.51953125,3.7890000343322754,15099.1796875,2066.2099609375
2023-12-28,4783.35009765625,37710.1015625,3.8499999046325684,15095.1396484375,2058.340087890625
2023-12-29,4769.830078125,37689.5390625,3.865999937057495,15011.349609375,2027.0699462890625
2024-01-02,4742.830078125,37715.0390625,3.946000099182129,14765.9404296875,2012.800048828125
